crdc_id,year,ncessch,fips,leaid,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion
130123000467,2015,130123000467,13,1301230,0,1,0,0,0
130123000469,2015,130123000469,13,1301230,0,0,0,0,0
130123000470,2015,130123000470,13,1301230,0,0,0,0,0
130123000471,2015,130123000471,13,1301230,0,1,0,0,0
130123000472,2015,130123000472,13,1301230,0,0,0,0,0
130123000473,2015,130123000473,13,1301230,0,0,0,0,0
130123000474,2015,130123000474,13,1301230,0,0,0,0,0
130123000475,2015,130123000475,13,1301230,0,0,0,0,0
130123000476,2015,130123000476,13,1301230,0,0,0,0,0
130123000477,2015,130123000477,13,1301230,0,1,0,0,0
130123000478,2015,130123000478,13,1301230,0,0,0,0,0
130123000479,2015,130123000479,13,1301230,0,1,0,0,0
130123000480,2015,130123000480,13,1301230,1,0,0,0,0
130123000481,2015,130123000481,13,1301230,0,0,0,0,0
130123000483,2015,130123000483,13,1301230,0,0,0,0,0
130123000484,2015,130123000484,13,1301230,0,0,0,0,0
130123000485,2015,130123000485,13,1301230,0,0,0,0,0
130123000486,2015,130123000486,13,1301230,0,0,0,0,0
130123000487,2015,130123000487,13,1301230,0,0,0,0,0
130123000488,2015,130123000488,13,1301230,0,0,0,0,0
130123000490,2015,130123000490,13,1301230,0,0,0,0,0
130123000491,2015,130123000491,13,1301230,0,0,0,0,0
130123000492,2015,130123000492,13,1301230,1,0,0,0,0
130123000494,2015,130123000494,13,1301230,1,0,0,0,0
130123000495,2015,130123000495,13,1301230,0,0,0,0,0
130123000496,2015,130123000496,13,1301230,0,0,0,0,0
130123000497,2015,130123000497,13,1301230,0,0,0,0,0
130123000498,2015,130123000498,13,1301230,0,0,0,0,0
130123000499,2015,130123000499,13,1301230,0,0,0,0,0
130123000500,2015,130123000500,13,1301230,0,0,0,0,0
130123000811,2015,130123000811,13,1301230,0,0,0,0,0
130123000812,2015,130123000812,13,1301230,0,0,0,0,0
130123001861,2015,130123001861,13,1301230,0,0,0,0,0
130123001925,2015,130123001925,13,1301230,0,0,0,0,0
130123002057,2015,130123002057,13,1301230,0,0,0,0,0
130123002067,2015,130123002067,13,1301230,0,0,0,0,0
130123002068,2015,130123002068,13,1301230,0,0,0,0,0
130123002105,2015,130123002105,13,1301230,0,0,0,0,0
130123002246,2015,130123002246,13,1301230,0,0,0,0,0
130123002304,2015,130123002304,13,1301230,1,0,0,0,0
130123002305,2015,130123002305,13,1301230,0,1,0,0,0
130123002470,2015,130123002470,13,1301230,0,0,0,0,0
130123002523,2015,130123002523,13,1301230,0,0,0,0,0
130123002524,2015,130123002524,13,1301230,0,0,0,0,0
130123002836,2015,130123002836,13,1301230,0,1,0,0,0
130123002837,2015,130123002837,13,1301230,0,0,0,0,0
130123003316,2015,130123003316,13,1301230,0,0,0,0,0
130123003317,2015,130123003317,13,1301230,0,0,0,0,0
130123003318,2015,130123003318,13,1301230,0,0,0,0,0
130123003319,2015,130123003319,13,1301230,2,2,0,0,0
130123003687,2015,130123003687,13,1301230,0,0,0,0,0
130123003752,2015,130123003752,13,1301230,0,0,0,0,0
130123003855,2015,130123003855,13,1301230,0,0,0,0,0
130123003896,2015,130123003896,13,1301230,0,0,0,0,0
130123004022,2015,130123004022,13,1301230,0,0,0,0,0
130123004154,2015,130123004154,13,1301230,0,0,0,0,0
130129000240,2015,130129000240,13,1301290,0,0,0,0,0
130129000242,2015,130129000242,13,1301290,0,0,0,0,0
130129000244,2015,130129000244,13,1301290,0,0,0,0,0
