crdc_id,year,fips,ncessch,leaid,race,sex,disability,lep,students_AP_exam_none,students_AP_pass_none,students_AP_exam_oneormore,students_AP_pass_oneormore,students_AP_exam_all,students_AP_pass_all
480001201431,2015,48,480001201431,4800012,99,99,99,99,,,,,,
480001204908,2015,48,480001204908,4800012,99,99,99,99,,,,,,
480001407174,2015,48,480001407174,4800014,99,99,99,99,,,,,,
480001410415,2015,48,480001410415,4800014,99,99,99,99,,,,,,
480001607239,2015,48,480001607239,4800016,99,99,99,99,,,,,,
480001607847,2015,48,480001607847,4800016,99,99,99,99,,,,,,
480001607910,2015,48,480001607910,4800016,99,99,99,99,,,,,,
480001608434,2015,48,480001608434,4800016,99,99,99,99,,,,,,
480001608908,2015,48,480001608908,4800016,99,99,99,99,,,,,,
480001609028,2015,48,480001609028,4800016,99,99,99,99,,,,,,
480001609410,2015,48,480001609410,4800016,99,99,99,99,,,,,,
480001609532,2015,48,480001609532,4800016,99,99,99,99,,,,,,
480001609602,2015,48,480001609602,4800016,99,99,99,99,,,,,,
480001610548,2015,48,480001610548,4800016,99,99,99,99,,,,,,
480001612961,2015,48,480001612961,4800016,99,99,99,99,,,,,,
480001807302,2015,48,480001807302,4800018,99,99,99,99,,,,,,
480001811526,2015,48,480001811526,4800018,99,99,99,99,,,,,,
480001812493,2015,48,480001812493,4800018,99,99,99,99,,,,,,
480001907303,2015,48,480001907303,4800019,99,99,99,99,,,,,,
480001913071,2015,48,480001913071,4800019,99,99,99,99,,,,,,
480002007304,2015,48,480002007304,4800020,99,99,99,99,,,,,,
480002013387,2015,48,480002013387,4800020,99,99,99,99,,,,,,
480002207905,2015,48,480002207905,4800022,99,99,99,99,121.0,17.0,37.0,20.0,,
480002209256,2015,48,480002209256,4800022,99,99,99,99,,,,,,
480002212583,2015,48,480002212583,4800022,99,99,99,99,,,,,,
480002212626,2015,48,480002212626,4800022,99,99,99,99,,,,,,
480002407392,2015,48,480002407392,4800024,99,99,99,99,,,,,,
480002507411,2015,48,480002507411,4800025,99,99,99,99,,,,,,
