crdc_id,year,fips,ncessch,leaid,race,sex,disability,lep,students_AP_exam_none,students_AP_pass_none,students_AP_exam_oneormore,students_AP_pass_oneormore,students_AP_exam_all,students_AP_pass_all
130117002104,2015,13,130117002104,1301170,99,99,99,99,,,,,,
130117002831,2015,13,130117002831,1301170,99,99,99,99,,,,,,
130117003905,2015,13,130117003905,1301170,99,99,99,99,,,,,,
130123000461,2015,13,130123000461,1301230,99,99,99,99,,,,,,
130123000462,2015,13,130123000462,1301230,99,99,99,99,,,,,,
130123000463,2015,13,130123000463,1301230,99,99,99,99,,,,,,
130123000464,2015,13,130123000464,1301230,99,99,99,99,,,,,,
130123000465,2015,13,130123000465,1301230,99,99,99,99,,,,,,
130123000466,2015,13,130123000466,1301230,99,99,99,99,,,,,,
130123000467,2015,13,130123000467,1301230,99,99,99,99,22.0,47.0,61.0,4.0,,
130123000469,2015,13,130123000469,1301230,99,99,99,99,,,,,,
130123000470,2015,13,130123000470,1301230,99,99,99,99,,,,,,
130123000471,2015,13,130123000471,1301230,99,99,99,99,,,,,,
130123000472,2015,13,130123000472,1301230,99,99,99,99,,,,,,
130123000473,2015,13,130123000473,1301230,99,99,99,99,56.0,108.0,143.0,21.0,,
130123000474,2015,13,130123000474,1301230,99,99,99,99,185.0,121.0,150.0,19.0,,
130123000475,2015,13,130123000475,1301230,99,99,99,99,,,,,,
130123000476,2015,13,130123000476,1301230,99,99,99,99,,,,,,
130123000477,2015,13,130123000477,1301230,99,99,99,99,43.0,137.0,160.0,11.0,,
130123000478,2015,13,130123000478,1301230,99,99,99,99,,,,,,
130123000479,2015,13,130123000479,1301230,99,99,99,99,,,,,,
130123000480,2015,13,130123000480,1301230,99,99,99,99,,,,,,
130123000481,2015,13,130123000481,1301230,99,99,99,99,,,,,,
130123000483,2015,13,130123000483,1301230,99,99,99,99,,,,,,
130123000484,2015,13,130123000484,1301230,99,99,99,99,,,,,,
130123000485,2015,13,130123000485,1301230,99,99,99,99,,,,,,
130123000486,2015,13,130123000486,1301230,99,99,99,99,,,,,,
130123000487,2015,13,130123000487,1301230,99,99,99,99,121.0,81.0,143.0,51.0,,
130123000488,2015,13,130123000488,1301230,99,99,99,99,,,,,,
130123000490,2015,13,130123000490,1301230,99,99,99,99,,,,,,
130123000491,2015,13,130123000491,1301230,99,99,99,99,,,,,,
130123000492,2015,13,130123000492,1301230,99,99,99,99,,,,,,
130123000494,2015,13,130123000494,1301230,99,99,99,99,,,,,,
130123000495,2015,13,130123000495,1301230,99,99,99,99,,,,,,
130123000496,2015,13,130123000496,1301230,99,99,99,99,,,,,,
130123000497,2015,13,130123000497,1301230,99,99,99,99,,,,,,
130123000498,2015,13,130123000498,1301230,99,99,99,99,,,,,,
130123000499,2015,13,130123000499,1301230,99,99,99,99,,,,,,
130123000500,2015,13,130123000500,1301230,99,99,99,99,,,,,,
130123000811,2015,13,130123000811,1301230,99,99,99,99,,,,,,
130123000812,2015,13,130123000812,1301230,99,99,99,99,,,,,,
130123001861,2015,13,130123001861,1301230,99,99,99,99,,,,,,
130123001925,2015,13,130123001925,1301230,99,99,99,99,,,,,,
130123002057,2015,13,130123002057,1301230,99,99,99,99,,,,,,
130123002067,2015,13,130123002067,1301230,99,99,99,99,131.0,158.0,189.0,25.0,,
130123002068,2015,13,130123002068,1301230,99,99,99,99,70.0,77.0,91.0,4.0,,
130123002105,2015,13,130123002105,1301230,99,99,99,99,,,,,,
130123002246,2015,13,130123002246,1301230,99,99,99,99,,,,,,
130123002304,2015,13,130123002304,1301230,99,99,99,99,,,,,,
130123002305,2015,13,130123002305,1301230,99,99,99,99,,,,,,
130123002470,2015,13,130123002470,1301230,99,99,99,99,,,,,,
130123002523,2015,13,130123002523,1301230,99,99,99,99,223.0,116.0,146.0,18.0,,
130123002524,2015,13,130123002524,1301230,99,99,99,99,,,,,,
130123002836,2015,13,130123002836,1301230,99,99,99,99,,,,,,
130123002837,2015,13,130123002837,1301230,99,99,99,99,,,,,,
130123003316,2015,13,130123003316,1301230,99,99,99,99,,,,,,
130123003317,2015,13,130123003317,1301230,99,99,99,99,,,,,,
130123003318,2015,13,130123003318,1301230,99,99,99,99,,,,,,
130123003319,2015,13,130123003319,1301230,99,99,99,99,,,,,,
130123003687,2015,13,130123003687,1301230,99,99,99,99,,,,,,
130123003752,2015,13,130123003752,1301230,99,99,99,99,,,,,,
130123003855,2015,13,130123003855,1301230,99,99,99,99,52.0,144.0,174.0,19.0,,
130123003896,2015,13,130123003896,1301230,99,99,99,99,182.0,62.0,97.0,26.0,,
130123004022,2015,13,130123004022,1301230,99,99,99,99,,,,,,
130123004154,2015,13,130123004154,1301230,99,99,99,99,63.0,82.0,144.0,46.0,,
130129000240,2015,13,130129000240,1301290,99,99,99,99,,,,,,
130129000242,2015,13,130129000242,1301290,99,99,99,99,,,,,,
130129000244,2015,13,130129000244,1301290,99,99,99,99,,,,,,
